,name,id,artist,artist_id,popularity,release_date,season
117,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,The Killers,0C0XlULifJtAgn6ZNCW2eu,24,2004-06-15,summer
118,Brazil,4sNG6zQBmtq7M8aeeKJRMQ,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,80,2017-04-13,summer
119,Kilby Girl,1170VohRSx6GwE6QDCHPPH,The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,72,2019-01-27,summer
120,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,72,2019-08-15,summer
121,Hey Lover,0bhwnn2xqnBUcMZDcXNuII,The Daughters Of Eve,4Fgj7fAOMYS3rMV4cUN2On,72,1966-02-05,summer
122,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,81,2022-05-13,summer
123,Ivy,2ZWlPOoWh0626oTaHrnl2a,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,83,2016-08-20,summer
124,Evergreen,6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,86,2017-05-17,summer
125,The Spins,51pshtuYkgUQnt5huMPbKL,Mac Miller,4LLpKhyESsyAXpc4laK94U,5,2010-08-13,summer
126,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,86,2022-04-22,summer
127,The Night Is Still Young,4bBrKDo8rchikwZOtmXbIH,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,60,2014-12-15,summer
128,Summer,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,7CajNmpbOovFoOoasH2HaY,83,2014-10-31,summer
129,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,6LuN9FCkKOj5PcnpouEgny,80,2017-04-27,summer
130,Out of My League,2AYEOC02WLhUiOoaig2SEH,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,74,2013-05-07,summer
131,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,M83,63MQldklfxkjYDoUE4Tppz,69,2011,summer
132,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,SZA,7tYKF4w9nC0nq9CsPZTHyP,74,2020-12-25,summer
133,Memories (feat. Kid Cudi),4dTaAiV9xFFCxnPur9c9yL,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,68,2009-08-21,summer
134,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,85,1985-02-25,summer
